WID,GaiaDR3ID,RA,DEC,Vdr,CUBI,Teff,L,errL,numax,errnumax,Deltanu,errDeltanu,POPSpec,POPCUBI
W491,6045479078332149632,245.798065,-26.444676,13.757,-2.059,4788,37.865,4.083,38.724,0.965,4.616,0.18,2G,2G
W508,6045478047540140544,245.800242,-26.495482,14.307,-2.096,4926,21.765,2.192,75.929,2.367,7.613,0.231,,2G
W760*,6045477841381440384,245.820424,-26.496654,13.129,-2.038,4668,71.18,7.748,18.148,1.024,2.558,0.081,2G,2G
W779,6045479490649030272,245.82206,-26.41608,14.059,-2.114,4844,28.142,3.03,53.392,2.258,6.056,0.171,,1G
W799,6045478288058130304,245.823516,-26.452857,13.313,-1.915,5596,45.743,4.332,33.108,1.851,4.543,0.117,,rHB
W837,6045478081899629696,245.825992,-26.485369,14.842,-2.071,5030,12.892,1.235,123.78,3.537,11.765,0.309,,2G
W1068,6045478184978847616,245.839217,-26.475993,14.307,-2.076,4900,21.934,2.229,71.632,2.839,7.449,0.301,,2G
W1091,6045478666015246592,245.840398,-26.446373,13.488,-2.054,4787,48.529,5.227,31.402,1.722,3.899,0.296,NC,2G
W1156,6045477910100876544,245.843863,-26.495077,14.053,-2.134,4858,28.109,3.026,50.74,0.995,5.375,0.272,,1G
W1225,6045477978820371712,245.847568,-26.48606,13.44,-1.983,5326,43.459,4.203,34.333,1.907,5.279,0.364,,rHB
W1582,6045477944460600960,245.866076,-26.486544,14.293,-2.138,4885,22.325,2.271,72.196,2.312,7.132,0.44,,1G
W1608,6045478734734712832,245.867277,-26.435713,13.228,-1.985,5421,51.551,4.936,30.4,2.277,4.385,0.111,,rHB
W1717,6045478730423545984,245.872427,-26.44103,14.364,-2.061,4966,20.374,2.016,83.731,1.718,8.619,0.68,,2G
W1763,6045503057118542208,245.874265,-26.390373,12.973,-2.042,4616,84.14,9.199,14.92,1.461,2.212,0.078,2G,2G
W1912,6045478764783374208,245.880406,-26.421051,14.577,-2.075,4994,16.636,1.628,100.116,2.931,10.021,1.264,,2G
W2021,6045466571386686208,245.884849,-26.489523,13.918,-2.14,4841,32.03,3.448,44.785,1.422,5.374,0.229,1G,1G
W2022*,6045478528576252288,245.884878,-26.439056,13.024,-2.115,4677,77.933,8.468,15.986,1.047,2.418,0.085,1G**,1G
W2034,6045502305515873024,245.885444,-26.409477,13.498,-2.135,4764,48.533,5.24,26.413,1.714,3.48,0.204,,1G
W2162,6045478356777481984,245.890859,-26.463824,13.649,-2.096,4782,41.995,4.528,35.28,1.784,4.245,0.359,2G,2G
W2386,6045478558624847488,245.899759,-26.439063,13.44,-2.054,5314,43.543,4.214,36.4,0.726,5.207,0.178,,rHB
W2665*,6045501961918453504,245.911909,-26.428551,13.084,-2.036,4675,73.824,8.007,17.806,0.445,2.526,0.089,2G,2G
W2678,6045502477314585728,245.912264,-26.369307,13.555,-2.128,4805,45.29,4.884,31.495,0.878,3.862,0.3,1G,1G
W2887,6045466433947664256,245.922274,-26.485789,13.418,-1.926,5614,41.411,3.922,39.876,2.52,3.938,0.204,,rHB
W3033*,6045466674465880064,245.929551,-26.468741,13.582,-2.058,4785,44.566,4.798,32.892,1.396,4.102,0.334,2G,2G
W3041,6045490210887898368,245.93007,-26.444946,14.191,-2.168,4927,24.184,2.472,62.427,2.156,6.847,0.872,,1G
W3073,6045501996278180992,245.931331,-26.42709,14.217,-2.082,4868,24.146,2.6,61.963,1.0,6.873,0.374,,2G
W3480,6045466399577821440,245.954138,-26.488691,13.816,-2.096,4875,34.725,3.55,45.087,1.775,5.228,0.182,NC,2G
W3528,6045466399587848704,245.957287,-26.481054,14.07,-2.152,4929,27.02,2.737,59.026,3.1,6.341,0.195,,1G
W3564,6045465643673557760,245.959422,-26.490526,13.505,-2.008,4803,47.534,5.117,31.958,2.938,4.029,0.23,2G,2G
W3742,6045489901650196864,245.970856,-26.4685,13.653,-2.157,4720,42.973,4.649,35.071,1.68,4.126,0.28,1G,1G
W3929*,6045490103497000320,245.985488,-26.424575,13.428,-1.94,5595,41.541,3.942,38.242,1.957,4.811,0.297,,rHB
W4488,6045489351894331776,246.061253,-26.454663,13.509,-2.065,4708,49.304,5.316,27.586,1.425,4.324,0.146,,2G
W1512,6045479593728227072,245.863124,-26.40367,,,,,,39.516,1.704,5.401,0.154,,NO
W3079,6045490210887906176,245.931592,-26.43842,,,,,,34.562,1.228,3.852,0.173,,NO
W3474,6045466399587823744,245.953973,-26.48835,,,,,,44.461,2.358,5.151,0.292,,NO
W4092,6045490485765778560,245.998091,-26.42664,,,,,,28.065,2.369,3.729,0.157,,NO
W4283,6045490447094400384,246.024697,-26.42321,,,,,,50.277,1.645,5.849,0.232,,NO
